Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||60|3|AG||2338
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||100|3|T||37658
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||60|3|S||3433
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||100|3|BS||10900
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||60|3|BS||10900
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||100|3|S||3433
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||60|3|T||37658
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||100|3|AG||2338
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||60|3|T||8840
|||||||000001|10/01/2025|Vente|238000,00|9005|||B142|LES VESVRES|3400|YZEURE|03|321||ZX|13||||||||||||0|1|Maison||100|3|T||8840
|||||||000001|10/01/2025|Vente|238000,00||||B142|LES VESVRES|3400|YZEURE|03|321||ZX|14||||||||||||0||||||P||1093
|||||||000001|06/01/2025|Vente|1140000,00||||B106|PRES DE LA GRANDE ROUTE|3120|LAPALISSE|03|138||ZA|43||||||||||||0||||||S||1000
|||||||000001|06/01/2025|Vente|1140000,00|8||IMP|0965|DES VERITES|3120|LAPALISSE|03|138||ZA|89||||||||||||0|4|Local industriel. commercial ou assimilé||1215|0|S||3066
|||||||000001|06/01/2025|Vente|1140000,00||||B106|PRES DE LA GRANDE ROUTE|3120|LAPALISSE|03|138||ZA|92||||||||||||0||||||S||16
|||||||000001|08/01/2025|Vente|40000,00||||B004|LES BOURDIGNATS|3170|MONTVICQ|03|189||AB|33||||||||||||0||||||T||1183
|||||||000001|08/01/2025|Vente|40000,00|17||RUE|0010|DE L ANCIENNE MINE|3170|MONTVICQ|03|189||AB|34||||||||||||0|1|Maison||83|3|S||215
|||||||000001|08/01/2025|Vente|40000,00|17||RUE|0010|DE L ANCIENNE MINE|3170|MONTVICQ|03|189||AB|35||||||||||||0|3|Dépendance||0|0|S||10
|||||||000001|08/01/2025|Vente|40000,00|17||RUE|0010|DE L ANCIENNE MINE|3170|MONTVICQ|03|189||AB|35||||||||||||0|3|Dépendance||0|0|T||716
|||||||000001|08/01/2025|Vente|40000,00|17||RUE|0010|DE L ANCIENNE MINE|3170|MONTVICQ|03|189||AB|35||||||||||||0|3|Dépendance||0|0|T||716
|||||||000001|08/01/2025|Vente|40000,00|17||RUE|0010|DE L ANCIENNE MINE|3170|MONTVICQ|03|189||AB|35||||||||||||0|3|Dépendance||0|0|S||10
